#./odf_intra.dat
# odfintra Version: intra-chain ODF with P2 and pxy
# 4080 vectors per frame, 102 vectors per chain, 40 chains
# P1(n) = <u(0)u(n)> = <costhe>  
# P2(n) = 1/2*<3*(u(0)u(n))^2 - 1> = 1/2<3*costhe^2 - 1> 2nd Legendre polynomial 
# P2 values +1: Parallel, -0.5: orthogonal, 0: No correlation # u(0) u(n) are unit vectors at distance n bonds.  
# n  P1  P2  pxy  pxy2  xx yy zz  x4 y4 z4  xxyy xxzz yyzz
# frames 1
36 -0.0094595462 -0.021624842 -0.00637423 1.35382 -0.0026229 0.00527879 -0.0121154 0.106639 0.113688 0.110162 -0.00235632 -0.00353177 0.000101765
37 -0.0042746136 0.007765305 0.0291186 1.34278 -0.00294628 0.00944702 -0.0107754 0.104676 0.112896 0.117488 -1.77314e-05 0.00139901 0.000343913
38 0.00066451674 0.020075475 0.0365481 1.36868 -0.00674001 0.00995861 -0.00255409 0.114143 0.113232 0.115412 -0.000262985 0.00122332 0.00100493
39 0.0080415454 0.0022993955 0.0146711 1.34987 -0.00137687 0.0105904 -0.00117202 0.103059 0.111304 0.116048 0.00120541 0.00151161 -0.000489493
40 0.023313098 -0.0072491585 0.0103884 1.33628 0.00262654 0.0222792 -0.00159262 0.107225 0.111643 0.112137 -0.000915954 -0.00269341 0.00235692
41 0.024744261 -0.00287103 -0.037547 1.32706 -0.0026139 0.021738 0.00562015 0.10468 0.114178 0.115252 -0.000939827 -0.000612372 0.000207021
42 0.015268202 0.0025777633 -0.040931 1.36967 -0.00380253 0.0120898 0.00698097 0.107007 0.111498 0.113645 -9.01842e-05 -0.000226199 0.00176731
43 0.025226614 -0.0053862487 -0.0383305 1.30118 0.00994998 0.0132348 0.0020418 0.103299 0.113752 0.115333 -0.00233593 0.000632309 0.000382522
44 0.029471782 0.021857819 -0.0467284 1.36633 -0.00450838 0.014334 0.0196462 0.107632 0.116496 0.112729 0.00247538 0.000810464 0.00223798
45 0.02284415 0.0005355662 -0.0327487 1.3044 -0.00425674 0.0143499 0.0127509 0.107667 0.113959 0.114642 -0.000363346 -0.000689648 -0.000235898
46 0.031745204 0.0060522219 -0.0343593 1.37872 -0.0126453 0.0311152 0.0132753 0.106602 0.113107 0.111896 0.00260633 -0.00122741 0.00150274
47 0.056003466 -0.00096592027 -0.0340909 1.34608 -0.00195734 0.0348889 0.0230719 0.108008 0.112502 0.1149 -0.000412156 -0.000438164 -0.000509931
48 0.057422892 0.02195563 0.0168206 1.35067 0.00547479 0.0336323 0.0183158 0.107637 0.1155 0.113768 0.00116296 0.00278457 0.00158538
