# ich head tail
0 0 40
1 44 72
2 76 116
3 120 148
4 152 192
5 196 224
6 228 268
7 272 300
8 304 344
9 348 376
10 380 420
11 424 452
12 456 496
13 500 528
14 532 572
15 576 604
16 608 648
17 652 680
18 684 724
19 728 756
20 760 800
21 804 832
22 836 876
23 880 908
